gamma,repetition,node,sim_time,num_nodes,offered,sent,load,losses,perc_success
0.003,24,9,3,10,2983875.0,0.0,6124008,2892858,0
0.003,25,0,3,10,2434062.0,2004.0,6134516,3459348,0.0008233151004370472
0.003,25,1,3,10,2975957.0,0.0,6019702,2808434,0
0.003,25,2,3,10,2994793.0,0.0,6044780,2808602,0
0.003,25,3,3,10,548489.0,1998.6666666666665,5875502,5086093,0.003643950319271064
0.003,25,4,3,10,0.0,0.0,6190118,5943284,0
0.003,25,5,3,10,2971481.0,0.0,6111442,2892519,0
0.003,25,6,3,10,2995801.0,0.0,6100225,2869683,0
0.003,25,7,3,10,12010.0,0.0,5967735,5708518,0
0.003,25,8,3,10,0.0,0.0,5918670,5677851,0
0.003,25,9,3,10,2990005.0,0.0,5750044,2513078,0
0.003,26,0,3,10,470232.0,0.0,5743843,5032271,0
0.003,26,1,3,10,2988665.0,0.0,5965362,2735387,0
0.003,26,2,3,10,2972127.0,0.0,5937164,2717804,0
0.003,26,3,3,10,2514128.0,0.0,5864182,3102867,0
0.003,26,4,3,10,0.0,0.0,5874597,5627524,0
0.003,26,5,3,10,716726.0,1999.6666666666665,5711401,4747850,0.0027900015719628793
0.003,26,6,3,10,2988113.0,0.0,5965152,2735746,0
0.003,26,7,3,10,2271806.0,2017.3333333333333,6146915,3628086,0.0008879866209233242
0.003,26,8,3,10,0.0,0.0,5821593,5574523,0
0.003,26,9,3,10,2989964.0,0.0,5966709,2735867,0
0.003,27,0,3,10,2224099.0,1994.6666666666667,6227075,3755814,0.00089684257160615
0.003,27,1,3,10,2982174.0,0.0,6284055,3066879,0
0.003,27,2,3,10,2994529.0,0.0,5953441,2723988,0
0.003,27,3,3,10,759491.0,0.0,5845493,4850943,0
0.003,27,4,3,10,0.0,0.0,5901545,5654289,0
0.003,27,5,3,10,2862504.0,0.0,6080959,2971338,0
0.003,27,6,3,10,2989175.0,0.0,5797852,2567369,0
0.003,27,7,3,10,126479.0,0.0,6196378,5828862,0
0.003,27,8,3,10,0.0,0.0,5928077,5681038,0
0.003,27,9,3,10,2994635.0,0.0,5737296,2501579,0
0.003,28,0,3,10,0.0,0.0,5995520,5754736,0
0.003,28,1,3,10,2994673.0,0.0,6297056,3067565,0
0.003,28,2,3,10,2977504.0,0.0,6063251,2844703,0
0.003,28,3,3,10,2989883.0,0.0,6327507,3090530,0
0.003,28,4,3,10,12039.0,1510.25,6266529,6007124,0.12544646565329345
0.003,28,5,3,10,325293.0,0.0,6171592,5599025,0
0.003,28,6,3,10,2989629.0,0.0,6104610,2868127,0
0.003,28,7,3,10,2658283.0,4031.3333333333335,6074375,3168830,0.0015165177422168119
0.003,28,8,3,10,0.0,0.0,5859582,5612301,0
0.003,28,9,3,10,2977841.0,0.0,5869322,2644689,0
0.003,29,0,3,10,253458.0,4044.666666666667,5973046,5472623,0.015957936489148762
0.003,29,1,3,10,2977199.0,0.0,5918277,2699720,0
0.003,29,2,3,10,2982585.0,0.0,6104782,2880961,0
0.003,29,3,3,10,2730636.0,0.0,5714409,2754916,0
0.003,29,4,3,10,0.0,0.0,6014315,5767053,0
0.003,29,5,3,10,2982638.0,0.0,5664743,2441093,0
0.003,29,6,3,10,2995086.0,0.0,5989950,2765782,0
0.003,29,7,3,10,6020.0,2006.6666666666665,5984642,5731702,0.3333333333333333
0.003,29,8,3,10,0.0,0.0,5706852,5466189,0
0.003,29,9,3,10,2995349.0,0.0,6014219,2777506,0
0.003,30,0,3,10,2699799.0,0.0,5935493,2994829,0
0.003,30,1,3,10,2983512.0,0.0,5911372,2680888,0
0.003,30,2,3,10,2995211.0,0.0,6141573,2911295,0
0.003,30,3,3,10,277098.0,0.0,6027882,5509822,0
0.003,30,4,3,10,0.0,0.0,6213329,5972348,0
0.003,30,5,3,10,2989373.0,2023.0,6045713,2821328,0.0006767305384774667
0.003,30,6,3,10,2983678.0,0.0,6346712,3116143,0
0.003,30,7,3,10,0.0,0.0,5707667,5460828,0
0.003,30,8,3,10,0.0,0.0,6123586,5876582,0
0.003,30,9,3,10,2987970.0,0.0,5899021,2676003,0
0.003,31,0,3,10,0.0,0.0,6195564,5948613,0
0.003,31,1,3,10,2994985.0,0.0,6044780,2814619,0
0.003,31,2,3,10,2975654.0,0.0,5693062,2470051,0
0.003,31,3,3,10,2989048.0,0.0,5870867,2640663,0
0.003,31,4,3,10,0.0,0.0,6032762,5785845,0
0.003,31,5,3,10,458327.0,0.0,5640592,4941105,0
0.003,31,6,3,10,2989917.0,0.0,6039071,2802231,0
0.003,31,7,3,10,2524854.0,1992.6666666666667,6014307,3242383,0.0007892205516305762
0.003,31,8,3,10,0.0,0.0,5941965,5694863,0
0.003,31,9,3,10,2989437.0,0.0,5869574,2632655,0
0.003,32,0,3,10,2976779.0,0.0,5845023,2621047,0
0.003,32,1,3,10,2981910.0,6042.999999999999,6187798,2958868,0.0020265534506406966
0.003,32,2,3,10,2989226.0,0.0,6158702,2928391,0
0.003,32,3,3,10,0.0,0.0,6194535,5947404,0
0.003,32,4,3,10,0.0,0.0,5979168,5731817,0
0.003,32,5,3,10,2994775.0,2022.6666666666667,6176784,2940476,0.000675398541348404
0.003,32,6,3,10,2976746.0,0.0,6039302,2815615,0
0.003,32,7,3,10,0.0,0.0,5605175,5364077,0
0.003,32,8,3,10,0.0,0.0,5887802,5640366,0
0.003,32,9,3,10,2989922.0,0.0,6032293,2801752,0
0.003,33,0,3,10,11990.0,5981.666666666666,5797266,5538221,0.49888796219071446
0.003,33,1,3,10,2981582.0,0.0,6012405,2796009,0
0.003,33,2,3,10,2977577.0,0.0,5930284,2710980,0
0.003,33,3,3,10,2983080.0,0.0,5996057,2772543,0
0.003,33,4,3,10,18063.0,7533.75,5948881,5689618,0.4170818800863644
0.003,33,5,3,10,970005.0,0.0,5984757,4767494,0
0.003,33,6,3,10,2989987.0,0.0,5980027,2748700,0
0.003,33,7,3,10,2000254.0,0.0,5828518,3580935,0
0.003,33,8,3,10,0.0,0.0,6013955,5766778,0
0.003,33,9,3,10,2983139.0,0.0,5875227,2651171,0
0.003,34,0,3,10,392014.0,0.0,6315488,5676701,0
0.003,34,1,3,10,2983871.0,0.0,5991280,2760400,0
